Date,Pages Read
2025-01-05,21.0
2025-01-06,30.0
2025-01-07,30.0
2025-01-08,30.0
2025-01-09,30.0
2025-01-12,39.0
2025-01-13,50.0
2025-01-14,77.0
2025-01-18,21.0
2025-01-19,36.0
2025-01-21,9.0
2025-01-23,19.0
2025-01-26,23.0
2025-01-31,16.0
2025-02-07,18.0
2025-02-11,17.0
2025-03-06,9.0
2025-03-07,56.0
2025-03-13,19.0
2025-03-15,16.0
2025-03-16,113.0
2025-03-17,27.0
2025-03-18,132.0
2025-03-19,81.0
2025-03-24,29.0
2025-03-25,12.0
2025-03-26,50.0
2025-03-27,60.0
2025-03-28,49.0
2025-03-29,9.0
2025-03-31,70.0
2025-04-01,28.0
2025-04-02,17.0
2025-04-03,18.0
2025-04-04,60.0
2025-04-05,22.0
2025-04-06,33.0
2025-04-07,38.0
2025-04-08,37.0
2025-04-09,71.0
2025-04-10,53.0
2025-04-11,45.0
2025-04-12,50.0
2025-04-13,33.0
2025-04-14,53.0
2025-04-15,47.0
2025-04-16,41.0
2025-04-17,59.0
2025-04-18,50.0
2025-04-19,50.0
2025-04-20,50.0
2025-04-21,50.0
2025-04-22,60.0
2025-04-23,44.0
2025-04-24,46.0
2025-04-25,100.0
2025-04-26,109.0
2025-04-27,75.0
2025-04-28,50.0
2025-04-29,20.0
2025-05-05,10.0
2025-05-06,18.0
2025-05-08,14.0
2025-05-09,32.0
2025-05-11,8.0
2025-05-12,10.0
2025-05-13,26.0
2025-05-14,32.0
2025-05-15,30.0
2025-05-16,22.0
2025-05-17,18.0
2025-05-18,60.0
2025-05-19,60.0
2025-05-20,60.0
2025-05-21,59.0
2025-05-23,50.0
2025-05-24,50.0
2025-05-25,57.0
2025-05-26,30.0
2025-05-27,50.0
2025-05-28,50.0
2025-05-29,45.0
2025-05-30,94.0
2025-05-31,81.0
2025-06-01,88.0
